kid,billable_serv_id,service_addr,type,rate_code,bill_date,consumpsum
100990,183959,GYRO BEACH  IRR KELOWNA,W,695,2013-01-26,7853
100990,185991,3400 LAKESHORE RD  APPLE KELOWNA,W,601,2013-05-26,3
101004,109700,GYRO BEACH KELOWNA,W,600,2013-03-26,273
101004,109701,GYRO BEACH KELOWNA,W,600,2013-03-26,486
101004,183959,GYRO BEACH  IRR KELOWNA,W,695,2013-01-26,7853
101004,185991,3400 LAKESHORE RD  APPLE KELOWNA,W,601,2013-05-26,3
101016,109700,GYRO BEACH KELOWNA,W,600,2013-03-26,273
101016,109701,GYRO BEACH KELOWNA,W,600,2013-03-26,486
101016,183959,GYRO BEACH  IRR KELOWNA,W,695,2013-01-26,7853
101016,185991,3400 LAKESHORE RD  APPLE KELOWNA,W,601,2013-05-26,3
101129,108170,633 GASTON AVE KELOWNA,W,600,2013-01-26,36
101269,122092,560 SUTHERLAND AVE KELOWNA,W,582,2013-01-26,5436
101360,119219,603 ROANOKE AVE KELOWNA,W,555,2013-01-26,140
101461,101299,781 BAY AVE KELOWNA,W,555,2013-01-16,153
101473,104569,568 CAWSTON AVE KELOWNA,W,555,2013-01-26,37
101511,101297,771 BAY AVE KELOWNA,W,555,2013-01-16,228
101586,125495,1560 WATER ST  C KELOWNA,W,602,2013-01-16,447
101788,108837,1116 GORDON DR KELOWNA,W,600,2013-01-16,0
101814,106053,844 CROWLEY AVE KELOWNA,W,600,2013-01-16,178
102069,121764,1231 SUTHERLAND AVE KELOWNA,W,581,2013-01-06,1870
102083,109685,990 GUISACHAN RD KELOWNA,W,555,2013-01-26,532
102095,123689,1908 WATER ST KELOWNA,W,555,2013-01-16,197
102208,106863,1265 ELLIS ST  A KELOWNA,W,600,2013-01-06,298
102285,123652,1630 WATER ST KELOWNA,W,601,2013-01-16,4817
102398,106848,1095 ELLIS ST KELOWNA,W,600,2013-01-26,300
102499,116337,1860 PANDOSY ST KELOWNA,W,581,2013-01-16,2395
102626,112672,1537 LAWRENCE AVE KELOWNA,W,555,2013-01-06,262
102653,117945,360 RAVEN DR KELOWNA,W,555,2013-01-16,200
102665,117946,368 RAVEN DR KELOWNA,W,555,2013-01-16,574
102677,122506,5420 THRASHER AVE KELOWNA,W,555,2013-01-16,757
102689,117944,344 RAVEN DR KELOWNA,W,555,2013-01-16,830
102727,112609,1370 LAWRENCE AVE KELOWNA,W,602,2013-01-06,1506
102739,101202,895 ELLIS ST  3 KELOWNA,W,600,2013-01-26,114
103200,106213,1490 DANJOU ST KELOWNA,W,555,2013-01-06,157
103554,106217,1495 DANJOU ST KELOWNA,W,555,2013-01-06,257
103566,106209,1481 DANJOU ST KELOWNA,W,555,2013-01-06,81
103578,106215,1491 DANJOU ST KELOWNA,W,555,2013-01-06,134
103679,112083,4065 LAKESHORE RD KELOWNA,W,600,2013-01-26,24
103768,111865,151 LAKE AVE KELOWNA,W,555,2013-01-16,181
103794,104022,834 CADDER AVE KELOWNA,W,555,2013-01-26,242
103806,123160,880 VAUGHAN AVE KELOWNA,W,604,2013-01-16,41295
103806,123161,880 VAUGHAN AVE KELOWNA,W,603,2013-01-16,27225
103806,139984,880 VAUGHAN AVE KELOWNA,W,670,2013-01-16,0
103820,100998,1410 BANKHEAD CRES KELOWNA,W,555,2013-01-06,368
103832,104047,886 CADDER AVE KELOWNA,W,555,2013-01-26,133
103883,104597,640 CAWSTON AVE KELOWNA,W,555,2013-01-26,636
104012,104250,3 CARAMILLO RD KELOWNA,W,555,2013-01-06,310
104048,183586,2081 CROSS RD KELOWNA,W,602,2013-01-06,2327
104137,112339,1011 LANFRANCO RD KELOWNA,W,555,2013-01-16,615
104214,112338,1007 LANFRANCO RD KELOWNA,W,555,2013-01-16,368
104240,112363,995 LANFRANCO RD KELOWNA,W,555,2013-01-16,563
104265,101085,599 BARNABY RD KELOWNA,W,555,2013-01-16,156
104289,104431,3433 CASORSO RD KELOWNA,W,555,2013-01-26,148
104303,104433,3445 CASORSO RD KELOWNA,W,555,2013-01-26,230
104315,112349,843 LANFRANCO RD KELOWNA,W,555,2013-01-16,370
104327,112352,871 LANFRANCO RD KELOWNA,W,555,2013-01-16,267
104339,112350,857 LANFRANCO RD KELOWNA,W,555,2013-01-16,160
104354,101100,674 BARNABY RD KELOWNA,W,555,2013-01-16,504
104430,101113,769 BARNABY RD  MAIN KELOWNA,W,555,2013-01-16,203
104430,101114,769 BARNABY RD  DUPLE KELOWNA,W,555,2013-01-16,633
104430,185605,769 BARNABY RD  MAIN KELOWNA,W,557,2013-01-16,220
104467,112289,1616 LAMBERT AVE KELOWNA,W,555,2013-01-06,458
104505,112285,1604 LAMBERT AVE KELOWNA,W,555,2013-01-06,226
104570,117929,576 RADANT RD KELOWNA,W,555,2013-01-26,544
104582,117124,469 PARK AVE KELOWNA,W,555,2013-01-26,40
104582,186108,469 PARK AVE  PARK KELOWNA,W,691,2013-10-26,0
104594,117931,582 RADANT RD KELOWNA,W,555,2013-01-26,190
104606,101309,810 BAY AVE KELOWNA,W,555,2013-01-16,321
104618,117935,594 RADANT RD KELOWNA,W,555,2013-01-26,375
104620,117933,588 RADANT RD KELOWNA,W,555,2013-01-26,329
104644,117126,479 PARK AVE KELOWNA,W,555,2013-01-26,333
104657,120035,445 SARSONS RD KELOWNA,W,555,2013-01-26,328
104669,120033,439 SARSONS RD KELOWNA,W,555,2013-01-26,362
104671,120036,451 SARSONS RD KELOWNA,W,555,2013-01-26,414
104683,120037,454 SARSONS RD KELOWNA,W,555,2013-01-26,379
104695,120034,444 SARSONS RD KELOWNA,W,555,2013-01-26,155
104707,120032,434 SARSONS RD KELOWNA,W,555,2013-01-26,173
104719,120029,424 SARSONS RD KELOWNA,W,555,2013-01-26,137
104721,120026,414 SARSONS RD KELOWNA,W,555,2013-01-26,350
104733,120024,404 SARSONS RD KELOWNA,W,555,2013-01-26,270
104745,120025,409 SARSONS RD KELOWNA,W,555,2013-01-26,705
104758,123400,825 WALROD ST KELOWNA,W,602,2013-01-16,3357
104758,123401,825 WALROD ST KELOWNA,W,602,2013-01-16,2927
104760,123411,872 WALROD ST KELOWNA,W,555,2013-01-16,65
104772,123409,862 WALROD ST KELOWNA,W,555,2013-01-16,161
104784,123407,852 WALROD ST KELOWNA,W,555,2013-01-16,168
104796,123405,842 WALROD ST KELOWNA,W,555,2013-01-16,307
104808,123403,832 WALROD ST KELOWNA,W,555,2013-01-16,300
104810,123398,822 WALROD ST  MAIN KELOWNA,W,555,2013-01-16,427
104822,123395,812 WALROD ST KELOWNA,W,555,2013-01-16,309
104834,123393,802 WALROD ST KELOWNA,W,555,2013-01-16,440
104846,124940,798 WALROD ST  B KELOWNA,W,555,2013-01-16,478
104859,123390,795 WALROD ST KELOWNA,W,555,2013-01-16,694
104861,120031,433 SARSONS RD KELOWNA,W,555,2013-01-26,269
104873,120027,415 SARSONS RD KELOWNA,W,555,2013-01-26,154
104885,120028,421 SARSONS RD KELOWNA,W,555,2013-01-26,175
104897,120030,427 SARSONS RD KELOWNA,W,555,2013-01-26,242
104909,123413,875 WALROD ST KELOWNA,W,555,2013-01-16,455
104911,123417,885 WALROD ST KELOWNA,W,555,2013-01-16,344
104923,101288,744 BAY AVE KELOWNA,W,555,2013-01-16,207
104935,123415,882 WALROD ST KELOWNA,W,555,2013-01-16,532
104947,104016,819 CADDER AVE KELOWNA,W,555,2013-01-26,187
104950,103998,784 CADDER AVE KELOWNA,W,555,2013-01-26,190
104962,104004,790 CADDER AVE KELOWNA,W,555,2013-01-26,267
104974,124736,802 CADDER AVE  WTR KELOWNA,W,555,2013-01-26,298
104986,104008,808 CADDER AVE KELOWNA,W,555,2013-01-26,135
104998,104012,816 CADDER AVE KELOWNA,W,555,2013-01-26,150
105003,104020,826 CADDER AVE KELOWNA,W,555,2013-01-26,226
105015,104028,844 CADDER AVE KELOWNA,W,555,2013-01-26,373
105027,104033,854 CADDER AVE KELOWNA,W,555,2013-01-26,208
105039,104037,862 CADDER AVE KELOWNA,W,555,2013-01-26,426
105041,104017,825 CADDER AVE KELOWNA,W,555,2013-01-26,215
105054,104041,870 CADDER AVE KELOWNA,W,555,2013-01-26,320
105066,104043,878 CADDER AVE KELOWNA,W,555,2013-01-26,188
105078,104024,835 CADDER AVE KELOWNA,W,555,2013-01-26,206
105092,104026,843 CADDER AVE KELOWNA,W,555,2013-01-26,412
105116,104034,859 CADDER AVE  WTR KELOWNA,W,555,2013-01-26,471
105128,104039,869 CADDER AVE KELOWNA,W,555,2013-01-26,238
105130,104045,879 CADDER AVE  WTR KELOWNA,W,555,2013-01-26,367
105142,104049,889 CADDER AVE KELOWNA,W,555,2013-01-26,890
105155,103994,774 CADDER AVE KELOWNA,W,555,2013-01-26,187
105167,103984,759 CADDER AVE KELOWNA,W,555,2013-01-26,381
105179,103990,767 CADDER AVE KELOWNA,W,555,2013-01-26,282
105181,103971,725 CADDER AVE KELOWNA,W,555,2013-01-26,298
105193,103975,735 CADDER AVE KELOWNA,W,555,2013-01-26,111
105205,103977,743 CADDER AVE KELOWNA,W,555,2013-01-26,296
105217,103982,753 CADDER AVE  WTR KELOWNA,W,555,2013-01-26,395
105229,124715,779 CADDER AVE  WATER KELOWNA,W,555,2013-01-26,573
105231,104000,785 CADDER AVE KELOWNA,W,555,2013-01-26,117
105243,104001,789 CADDER AVE KELOWNA,W,555,2013-01-26,194
105256,104010,809 CADDER AVE  MAIN KELOWNA,W,555,2013-01-26,230
105268,104013,817 CADDER AVE KELOWNA,W,555,2013-01-26,541
105270,103992,770 CADDER AVE KELOWNA,W,555,2013-01-26,488
105282,124716,746 CADDER AVE KELOWNA,W,555,2013-01-26,237
105294,103988,760 CADDER AVE KELOWNA,W,555,2013-01-26,160
